67,0.239
:r,0.24
67,0.119
:r,0.12
64,0.119
:r,0.12
72,0.239
:r,0.24
67,0.239
:r,0.24
69,0.239
:r,0.24
69,0.119
:r,0.12
65,0.119
:r,0.12
74,0.239
:r,0.24
69,0.239
:r,0.24
71,0.239
:r,0.24
71,0.239
:r,0.24
69,0.239
:r,0.24
69,0.239
:r,0.24
69,0.239
:r,0.24
67,0.239
:r,0.24
69,0.059
:r,0.06
67,0.059
:r,0.06
66,0.119
:r,0.12
67,0.239
:r,0.24
67,0.239
:r,0.24
67,0.119
:r,0.12
64,0.119
:r,0.12
72,0.239
:r,0.24
67,0.239
:r,0.24
69,0.239
:r,0.24
69,0.119
:r,0.12
65,0.119
:r,0.12
74,0.239
:r,0.24
69,0.239
:r,0.24
71,0.239
:r,0.24
71,0.239
:r,0.24
71,0.119
:r,0.12
69,0.119
:r,0.12
65,0.119
:r,0.12
62,0.119
:r,0.12
60,0.239
:r,0.24
64,0.239
:r,0.24
60,0.239
:r,0.48
67,0.239
:r,0.24
67,0.119
:r,0.12
64,0.119
:r,0.12
72,0.239
:r,0.24
67,0.239
:r,0.24
69,0.239
:r,0.24
69,0.119
:r,0.12
65,0.119
:r,0.12
74,0.239
:r,0.24
69,0.239
:r,0.24
71,0.239
:r,0.24
71,0.239
:r,0.24
69,0.239
:r,0.24
69,0.239
:r,0.24
69,0.239
:r,0.24
67,0.239
:r,0.24
69,0.059
:r,0.06
67,0.059
:r,0.06
66,0.119
:r,0.12
67,0.239
:r,0.24
67,0.239
:r,0.24
67,0.119
:r,0.12
64,0.119
:r,0.12
72,0.239
:r,0.24
67,0.239
:r,0.24
69,0.239
:r,0.24
69,0.119
:r,0.12
65,0.119
:r,0.12
74,0.239
:r,0.24
69,0.239
:r,0.24
71,0.239
:r,0.24
71,0.239
:r,0.24
71,0.119
:r,0.12
69,0.119
:r,0.12
65,0.119
:r,0.12
62,0.119
:r,0.12
60,0.239
:r,0.24
64,0.239
:r,0.24
60,0.239
:r,0.48
72,0.119
:r,0.12
74,0.119
:r,0.12
72,0.119
:r,0.12
69,0.119
:r,0.12
74,0.239
:r,0.24
74,0.239
:r,0.24
71,0.119
:r,0.12
72,0.119
:r,0.12
71,0.119
:r,0.12
67,0.119
:r,0.12
74,0.239
:r,0.24
74,0.239
:r,0.24
76,0.239
:r,0.24
66,0.239
:r,0.24
72,0.239
:r,0.24
66,0.239
:r,0.24
74,0.239
:r,0.24
67,0.239
:r,0.24
71,0.239
:r,0.24
62,0.239
:r,0.24
72,0.119
:r,0.12
74,0.119
:r,0.12
72,0.119
:r,0.12
69,0.119
:r,0.12
74,0.239
:r,0.24
74,0.239
:r,0.24
71,0.119
:r,0.12
72,0.119
:r,0.12
71,0.119
:r,0.12
62,0.119
:r,0.12
67,0.239
:r,0.24
71,0.239
:r,0.24
72,0.239
:r,0.24
66,0.239
:r,0.24
71,0.319
:r,0.32
69,0.159
:r,0.16
67,0.239
:r,0.24
71,0.239
:r,0.24
67,0.239
:r,0.48
72,0.119
:r,0.12
74,0.119
:r,0.12
72,0.119
:r,0.12
69,0.119
:r,0.12
74,0.239
:r,0.24
74,0.239
:r,0.24
71,0.119
:r,0.12
72,0.119
:r,0.12
71,0.119
:r,0.12
67,0.119
:r,0.12
74,0.239
:r,0.24
74,0.239
:r,0.24
76,0.239
:r,0.24
66,0.239
:r,0.24
72,0.239
:r,0.24
66,0.239
:r,0.24
74,0.239
:r,0.24
67,0.239
:r,0.24
71,0.239
:r,0.24
62,0.239
:r,0.24
72,0.119
:r,0.12
74,0.119
:r,0.12
72,0.119
:r,0.12
69,0.119
:r,0.12
74,0.239
:r,0.24
74,0.239
:r,0.24
71,0.119
:r,0.12
72,0.119
:r,0.12
71,0.119
:r,0.12
62,0.119
:r,0.12
67,0.239
:r,0.24
71,0.239
:r,0.24
72,0.239
:r,0.24
66,0.239
:r,0.24
71,0.319
:r,0.32
69,0.159
:r,0.16
67,0.239
:r,0.24
71,0.239
:r,0.24
67,0.239
:r,0.48
69,0.059
:r,0.06
72,0.179
:r,0.18
72,0.239
:r,0.24
65,0.479
:r,0.48
70,0.059
:r,0.06
72,0.179
:r,0.18
72,0.239
:r,0.24
64,0.479
:r,0.48
76,0.239
:r,0.24
64,0.239
:r,0.24
74,0.239
:r,0.24
64,0.239
:r,0.24
65,0.239
:r,0.24
74,0.239
:r,0.24
72,0.119
:r,0.12
74,0.119
:r,0.12
72,0.239
:r,0.24
69,0.059
:r,0.06
72,0.179
:r,0.18
72,0.239
:r,0.24
65,0.479
:r,0.48
70,0.059
:r,0.06
72,0.179
:r,0.18
72,0.239
:r,0.24
64,0.479
:r,0.48
76,0.239
:r,0.24
74,0.239
:r,0.24
72,0.119
:r,0.12
70,0.119
:r,0.12
69,0.119
:r,0.12
67,0.119
:r,0.12
65,0.239
:r,0.24
69,0.239
:r,0.24
65,0.239
:r,0.48
69,0.059
:r,0.06
72,0.179
:r,0.18
72,0.239
:r,0.24
65,0.479
:r,0.48
70,0.059
:r,0.06
72,0.179
:r,0.18
72,0.239
:r,0.24
64,0.479
:r,0.48
76,0.239
:r,0.24
64,0.239
:r,0.24
74,0.239
:r,0.24
64,0.239
:r,0.24
65,0.239
:r,0.24
74,0.239
:r,0.24
72,0.119
:r,0.12
74,0.119
:r,0.12
72,0.239
:r,0.24
69,0.059
:r,0.06
72,0.179
:r,0.18
72,0.239
:r,0.24
65,0.479
:r,0.48
70,0.059
:r,0.06
72,0.179
:r,0.18
72,0.239
:r,0.24
64,0.479
:r,0.48
76,0.239
:r,0.24
74,0.239
:r,0.24
72,0.119
:r,0.12
70,0.119
:r,0.12
69,0.119
:r,0.12
67,0.119
:r,0.12
65,0.239
:r,0.24
69,0.239
:r,0.24
65,0.239
:r,0.48
67,0.239
:r,0.24
71,0.119
:r,0.12
72,0.119
:r,0.12
74,0.239
:r,0.24
67,0.239
:r,0.24
76,0.239
:r,0.24
74,0.119
:r,0.12
76,0.119
:r,0.12
72,0.239
:r,0.24
67,0.239
:r,0.24
65,0.239
:r,0.24
71,0.119
:r,0.12
71,0.119
:r,0.12
65,0.239
:r,0.24
69,0.119
:r,0.12
69,0.119
:r,0.12
64,0.239
:r,0.24
67,0.119
:r,0.12
67,0.119
:r,0.12
64,0.479
:r,0.48
67,0.239
:r,0.24
71,0.119
:r,0.12
72,0.119
:r,0.12
74,0.239
:r,0.24
67,0.239
:r,0.24
76,0.239
:r,0.24
74,0.119
:r,0.12
76,0.119
:r,0.12
72,0.239
:r,0.24
67,0.239
:r,0.24
69,0.239
:r,0.24
74,0.119
:r,0.12
74,0.119
:r,0.12
67,0.119
:r,0.12
71,0.119
:r,0.12
71,0.239
:r,0.24
72,0.239
:r,0.24
76,0.239
:r,0.24
72,0.239
:r,0.48
67,0.239
:r,0.24
71,0.119
:r,0.12
72,0.119
:r,0.12
74,0.239
:r,0.24
67,0.239
:r,0.24
76,0.239
:r,0.24
74,0.119
:r,0.12
76,0.119
:r,0.12
72,0.239
:r,0.24
67,0.239
:r,0.24
65,0.239
:r,0.24
71,0.119
:r,0.12
71,0.119
:r,0.12
65,0.239
:r,0.24
69,0.119
:r,0.12
69,0.119
:r,0.12
64,0.239
:r,0.24
67,0.119
:r,0.12
67,0.119
:r,0.12
64,0.479
:r,0.48
67,0.239
:r,0.24
71,0.119
:r,0.12
72,0.119
:r,0.12
74,0.239
:r,0.24
67,0.239
:r,0.24
76,0.239
:r,0.24
74,0.119
:r,0.12
76,0.119
:r,0.12
72,0.239
:r,0.24
67,0.239
:r,0.24
69,0.239
:r,0.24
74,0.119
:r,0.12
74,0.119
:r,0.12
67,0.119
:r,0.12
71,0.119
:r,0.12
71,0.239
:r,0.24
72,0.239
:r,0.24
72,0.119
:r,0.12
72,0.119
:r,0.12
72,0.239
